Code	Incipit	Rubrica	File	Source	Duplicate of		
P3F3L2		Ap. 4: 6-8	x	AELF			
P3F3L3		Ap. 4: 9-11	x	AELF			
P3F4L1	De libro Apocalýpsis beáti Joánnis Apóstoli	Ap. 5: 1-7	x	AELF			
P3F4L2		Ap. 5: 8-10	x	AELF			
P3F4L3		Ap. 5: 11-14	x	AELF			
P3F5L1	De libro Apocalýpsis beáti Joánnis Apóstoli	Ap. 15: 1-4	x	AELF			
P3F5L2		Ap. 15: 5-8	x	AELF			
P3F5L3		Ap. 16: 1-6	x	AELF			
P3F6L1	De libro Apocalýpsis beáti Joánnis Apóstoli	Ap. 19: 1-5	x	AELF			
P3F6L2		Ap. 19: 6-10	x	AELF			
P3F6L3		Ap. 19: 11-16	x	AELF			
P3F7L1	De libro Apocalýpsis beáti Joánnis Apóstoli	Ap. 22: 1-7	x	AELF			
P3F7L2		Ap. 22: 8-12	x	AELF			
P3F7L3		Ap. 22: 13-21	x	AELF			
P4F1N1L1	Incipit Epístola cathólica beáti Jacóbi Apóstoli	Jc. 1: 1-6	x	AELF			
P4F1N1L2		Jc. 1: 6-11	x	AELF			
P4F1N1L3		Jc. 1: 12-16	x	AELF			
P4F2L1	De Epístola beáti Jacóbi Apóstoli	Jc. 1: 17-20	x	AELF			
P4F2L2		Jc. 1: 21-24	x	AELF			
P4F2L3		Jc. 1: 25-27	x	AELF			
P4F3L1	De Epístola beáti Jacóbi Apóstoli	Jc. 2: 1-4	x	AELF			
P4F3L2		Jc. 2: 5-9	x	AELF			
P4F3L3		Jc. 2: 10-13	x	AELF			
P4F4L1	De Epístola beáti Jacóbi Apóstoli	Jc. 2: 14-17	x	AELF			
P4F4L2		Jc. 2: 18-22	x	AELF			
P4F4L3		Jc. 2: 23-26	x	AELF			
P4F5L1	De Epístola beáti Jacóbi Apóstoli	Jc. 3: 1-3	x	AELF			
P4F5L2		Jc. 3: 4-6	x	AELF			
P4F5L3		Jc. 3: 6-10	x	AELF			
P4F6L1	De Epístola beáti Jacóbi Apóstoli	Jc. 4: 1-4	x	AELF			
P4F6L2		Jc. 4: 5-10	x	AELF			
P4F6L3		Jc. 4: 11-15	x	AELF			
P4F7L1	De Epístola beáti Jacóbi Apóstoli	Jc. 5: 1-6	x	AELF			
P4F7L2		Jc. 5: 7-11	x	AELF			
P4F7L3		Jc. 5: 12-16	x	AELF			
P5F1N1L1	Incipit Epístola prima beáti Petri Apóstoli	1 P. 1: 1-5	x	AELF			
P5F1N1L2		1 P. 1: 6-12	x	AELF			
P5F1N1L3		1 P. 1: 13-21	x	AELF			
P5F3L1	De Epístola prima beáti Petri Apóstoli	1 P. 4: 1-7	x	AELF			
P5F3L2		1 P. 4: 7-11	x	AELF			
P5F3L3		1 P. 4: 12-17	x	AELF			
P5F5N1L1	Incipit liber Actuum Apostolórum	Ac. 1: 1-5	x	AELF			
P5F5N1L2		Ac. 1: 6-9	x	AELF			
P5F5N1L3		Ac. 1: 10-14	x	AELF			
P5F6N1L1	Incipit Epístola secúnda beáti Petri Apóstoli	2 P. 1: 1-4	x	AELF			
